@relation AliensData

@attribute 'bomb up' numeric
@attribute 'bomb left' numeric
@attribute 'bomb right' numeric
@attribute 'enemy up' numeric
@attribute 'enemy left' numeric
@attribute 'enemy right' numeric
@attribute 'enemy num' numeric
@attribute 'enemy distance' numeric
@attribute 'bomb distance' numeric
@attribute GameTick numeric
@attribute AvatarSpeed numeric
@attribute AvatarHealthPoints numeric
@attribute AvatarType numeric
@attribute class {0,1,2,3}

@data
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,16.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,16.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,16.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,8.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,32.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,8.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,8.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,8.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,16.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,16.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,8.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,3200.0,0.0,1.0,0.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,96.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,128.0,320.0,3200.0,0.0,1.0,0.0,1.0,0
